first_name,last_name,bioguide_id
Al,Franken,F000457
Alex,Padilla,P000145
Amy,Klobuchar,K000367
Angus,King,K000383
Barbara,Boxer,B000711
Barbara,Mikulski,M000702
Ben,Cardin,C000141
Ben,LujÃÂ¡n,L000570
Ben,Sasse,S001197
Bernie,Sanders,S000033
Bill,Cassidy,C001075
Bill,Hagerty,H000601
Bill,Nelson,N000032
Bob,Corker,C001071
Bob,Jr,C000228
Bob,Jr.,C000228
Bob,Menendez,M000639
Brian,Schatz,S001194
Catherine,Masto,C001113
Chris,Coons,C001088
Chris,Hollen,V000128
Chris,Murphy,M001169
Chuck,Grassley,G000386
Chuck,Schumer,S000148
Cindy,Hyde-Smith,H001079
Claire,McCaskill,M001170
Cory,Booker,B001288
Cory,Gardner,G000562
Cynthia,Lummis,L000571
Dan,Coats,C000542
Dan,Sullivan,S001198
David,Perdue,P000612
David,Vitter,V000127
Dean,Heller,H001041
Deb,Fischer,F000463
Debbie,Stabenow,S000770
Dianne,Feinstein,F000062
Dick,Durbin,D000563
Doug,Jones,J000300
Ed,Markey,M000133
Elizabeth,Warren,W000817
Eric,Schmitt,S001227
Gary,Peters,P000595
Harry,Reid,R000146
Heidi,Heitkamp,H001069
J.,Vance,V000137
Jack,Reed,R000122
Jacky,Rosen,R000608
James,Lankford,L000575
Jeanne,Shaheen,S001181
Jeff,Flake,F000444
Jeff,Merkley,M001176
Jeff,Sessions,S001141
Jerry,Moran,M000934
Jim,Inhofe,I000024
Jim,Risch,R000584
Joe,Donnelly,D000607
Joe,Manchin,M001183
John,Barrasso,B001261
John,Boozman,B001236
John,Cornyn,C001056
John,Fetterman,F000479
John,Hickenlooper,H000273
John,Hoeven,H001061
John,Kennedy,K000393
John,Kennedy,K000107
John,Kennedy,K000109
John,Kennedy,K000108
John,McCain,M000303
John,Thune,T000250
Johnny,Isakson,I000055
Jon,Kyl,K000352
Jon,Ossoff,O000174
Jon,Tester,T000464
Joni,Ernst,E000295
Josh,Hawley,H001089
Kamala,Harris,H001075
Katie,Britt,B001319
Kelly,Ayotte,A000368
Kelly,Loeffler,L000594
Kevin,Cramer,C001096
Kirsten,Gillibrand,G000555
Kyrsten,Sinema,S001191
Lamar,Alexander,A000360
Lindsey,Graham,G000359
Lisa,Murkowski,M001153
Luther,Strange,S001202
Maggie,Hassan,H001076
Marco,Rubio,R000595
Maria,Cantwell,C000127
Mark,Kelly,K000377
Mark,Kirk,K000360
Mark,Warner,W000805
Markwayne,Mullin,M001190
Marsha,Blackburn,B001243
Martha,McSally,M001197
Martin,Heinrich,H001046
Mazie,Hirono,H001042
Michael,Bennet,B001267
Mike,Braun,B001310
Mike,Crapo,C000880
Mike,Enzi,E000285
Mike,Lee,L000577
Mike,Rounds,R000605
Mitch,McConnell,M000355
Mitt,Romney,R000615
Orrin,Hatch,H000338
Pat,Roberts,R000307
Pat,Toomey,T000461
Patrick,Leahy,L000174
Patty,Murray,M001111
Pete,Ricketts,R000618
Peter,Welch,W000800
Rand,Paul,P000603
Raphael,Warnock,W000790
Richard,Blumenthal,B001277
Richard,Burr,B001135
Richard,Shelby,S000320
Rick,Scott,S001217
Rob,Portman,P000449
Roger,Marshall,M001198
Roger,Wicker,W000437
Ron,Johnson,J000293
Ron,Wyden,W000779
Roy,Blunt,B000575
Sheldon,Whitehouse,W000802
Shelley,Capito,C001047
Sherrod,Brown,B000944
Steve,Daines,D000618
Susan,Collins,C001035
Tammy,Baldwin,B001230
Tammy,Duckworth,D000622
Ted,Budd,B001305
Ted,Cruz,C001098
Thad,Cochran,C000567
Thom,Tillis,T000476
Tim,Kaine,K000384
Tim,Scott,S001184
Tina,Smith,S001203
Todd,Young,Y000064
Tom,Carper,C000174
Tom,Cotton,C001095
Tom,Udall,U000039
Tommy,Tuberville,T000278